filename,content,unit_type,char_count,word_count,start_pos,end_pos
info_cubo_acuerdos_bilaterales_v11.md,"=== MEDIDAS ===

** Plazas ofertadas para alumnos **
Número total de plazas de movilidad de entrada y/o de salida que se ofertan, en virtud de programas de intercambio, para realizar una estancia temporal en una universidad (distinta de aquélla en la que se cursan estudios), en el marco de acuerdos bilaterales suscritos por Unizar y registrados en SIGMA.

>Nota: El intercambio debe ir asociado a algún tipo de reconocimiento académico.

** Plazas asignadas a los alumnos OUT **
Número total de plazas de movilidad que han sido asignadas a estudiantes de Unizar para realizar estancias otras Universidades, correspondientes a los acuerdos bilaterales registrados en SIGMA.

>Nota: sólo se contabilizan plazas de programas de intercambio que tienen informados en SIGMA todos los
datos correspondientes a la solicitud del alumno, a la asignación de plaza y al contrato de estudios. Por tant se muestran datos correspondientes a los programas ERASMUS y SICUE desde el curso 2012/13, de Movilid UE-Suiza desde el curso 2014/15, y de UZ/NOA y Movilidad Iberoamérica desde el curso 2016/17.

** Plazas ofertadas a docentes **
Número total de plazas de movilidad que se ofertan al personal docente de entrada y/o salida, en virtud de programas de intercambio suscritos por Unizar, para realizar una estancia temporal en una universidad (distinta de aquélla en que imparten docencia).

** Número de acuerdos bilaterales **
Número total de acuerdos de movilidad con otras universidades, registrados en SIGMA, en el marco de los programas de intercambio suscritos por Unizar.",section,1568,281,0,1568
info_cubo_acuerdos_bilaterales_v11.md,=== DIMENSIONES ===,section,20,3,1569,1589
info_cubo_acuerdos_bilaterales_v11.md,"## DIMENSION: CURSO ACADÉMICO ##

Notas generales:
- Clasifica los datos en función del curso académico para el que tiene vigencia el acuerdo bilateral.

>Nota: El primer curso académico del que constan datos es el 2012/13.",section,224,44,1590,1814
info_cubo_acuerdos_bilaterales_v11.md,"## DIMENSION: Centro Responsable ##

Notas generales:
- Permite clasificar los datos en función del centro de Unizar responsable del acuerdo de movilidad.

>Nota: Para los acuerdos que no tienen centro responsable, se indica 021-Ámbito General.",section,245,45,1815,2060
info_cubo_acuerdos_bilaterales_v11.md,"## DIMENSION: Colectivo ##

Notas generales:
- Permite clasificar los datos en función del colectivo al que está destinada la movilidad en el acuerdo bilatera

>Valores posibles: Alumnos, Docentes.",section,198,37,2061,2259
info_cubo_acuerdos_bilaterales_v11.md,"## DIMENSION: Entrada o Salida (IN/OUT) ##

Notas generales:
- Permite clasificar los datos en función de si el acuerdo bilateral oferta plazas de movilidad de entrada (IN) o salida (OUT).",section,189,42,2260,2449
info_cubo_acuerdos_bilaterales_v11.md,"## DIMENSION: Fecha de actualización ##

Notas generales:
- Indica la fecha de la última recarga de datos. Habitualmente se realiza el domingo anterior a la fecha de consulta de datos.",section,185,37,2450,2635
info_cubo_acuerdos_bilaterales_v11.md,"## DIMENSION: Idioma ##

Atributos:
• Nivel Principal:
Permite clasificar los datos en función del idioma principal contemplado en el acuerdo bilateral.

>Nota: se indica “no informado” cuando no hay un idioma registrado en el acuerdo.

• Nivel Secundario:
Permite clasificar los datos en función del idioma secundario contemplado en el acuerdo bilateral.

>Nota: se indica “no informado” cuando no hay un idioma registrado en el acuerdo.",section,439,85,2636,3075
info_cubo_acuerdos_bilaterales_v11.md,"## DIMENSION: Meses ofertados por plaza ##

Notas generales:
- Permite clasificar los datos en función de la duración de la estancia en meses contemplada en el acuerdo.

>Nota: las estancias correspondientes a las plazas asignadas a docentes no tienen informada duración (se
indica “No informado”).",section,299,58,3076,3375
info_cubo_acuerdos_bilaterales_v11.md,"## DIMENSION: Nivel de estudios ##

Notas generales:
- Permite identificar el nivel formativo de los estudiantes establecido en el acuerdo bilateral.

>Valores posibles: Undergraduate, Undergraduate/Postgraduate, Undergraduate/Doctoral,
Undergraduate/Postgraduate/Doctoral, Postgraduate, Postgraduate/Doctoral, Doctoral.

>Nota: Para los datos correspondientes a las plazas asignadas a docentes se muestra el valor “(Docentes)”.",section,429,68,3376,3805
